span,eta_tt_re
0.15615615615615616,0.9843837768707067
0.15715715715715717,0.98458697440706
0.15815815815815815,0.984789587617058
0.15915915915915915,0.984991574480461
0.16016016016016016,0.9851928933001168
0.16116116116116116,0.9853935027085603
0.16216216216216217,0.9855933616745643
0.16316316316316315,0.985792429509478
0.16416416416416416,0.9859906658735939
0.16516516516516516,0.9861880307823161
0.16616616616616617,0.9863844846122424
0.16716716716716717,0.9865799881071634
0.16816816816816815,0.9867745023839152
0.16916916916916916,0.9869679889381464
0.17017017017017017,0.9871604096499385
0.17117117117117117,0.9873517267893516
0.17217217217217218,0.9875419030218011
0.17317317317317318,0.9877309014133516
0.17417417417417416,0.9879186854358912
0.17517517517517517,0.9881052189721392
0.17617617617617617,0.9882904663205611
0.17717717717717718,0.9884743922001877
